ms-vscode.cpptools-themes	21690125	2.0.0	Visual Studio Dark - C++	Dark (Visual Studio - C/C++)	C/C++ Themes	Microsoft
ms-vscode.cpptools-themes	21690125	2.0.0	Visual Studio 2017 Dark - C++	2017 Dark (Visual Studio - C/C++)	C/C++ Themes	Microsoft
ms-vscode.cpptools-themes	21690125	2.0.0	Visual Studio Light - C++	Light (Visual Studio - C/C++)	C/C++ Themes	Microsoft
ms-vscode.cpptools-themes	21690125	2.0.0	Visual Studio 2017 Light - C++	2017 Light (Visual Studio - C/C++)	C/C++ Themes	Microsoft
github.github-vscode-theme	9360678	6.3.4	GitHub Light Default	GitHub Light Default	GitHub Theme	GitHub
github.github-vscode-theme	9360678	6.3.4	GitHub Light High Contrast	GitHub Light High Contrast	GitHub Theme	GitHub
github.github-vscode-theme	9360678	6.3.4	GitHub Light Colorblind (Beta)	GitHub Light Colorblind (Beta)	GitHub Theme	GitHub
github.github-vscode-theme	9360678	6.3.4	GitHub Dark Default	GitHub Dark Default	GitHub Theme	GitHub
github.github-vscode-theme	9360678	6.3.4	GitHub Dark High Contrast	GitHub Dark High Contrast	GitHub Theme	GitHub
github.github-vscode-theme	9360678	6.3.4	GitHub Dark Colorblind (Beta)	GitHub Dark Colorblind (Beta)	GitHub Theme	GitHub
github.github-vscode-theme	9360678	6.3.4	GitHub Dark Dimmed	GitHub Dark Dimmed	GitHub Theme	GitHub
github.github-vscode-theme	9360678	6.3.4	GitHub Light	GitHub Light	GitHub Theme	GitHub
github.github-vscode-theme	9360678	6.3.4	GitHub Dark	GitHub Dark	GitHub Theme	GitHub
ms-vscode.powershell	9140797	2023.9.2	PowerShell ISE	PowerShell ISE	PowerShell	Microsoft
zhuangtongfa.material-theme	8037033	3.16.0	One Dark Pro	One Dark Pro	One Dark Pro	binaryify
zhuangtongfa.material-theme	8037033	3.16.0	One Dark Pro Flat	One Dark Pro Flat	One Dark Pro	binaryify
zhuangtongfa.material-theme	8037033	3.16.0	One Dark Pro Darker	One Dark Pro Darker	One Dark Pro	binaryify
zhuangtongfa.material-theme	8037033	3.16.0	One Dark Pro Mix	One Dark Pro Mix	One Dark Pro	binaryify
dracula-theme.theme-dracula	5937139	2.24.3	Dracula	Dracula	Dracula Official	Dracula Theme
dracula-theme.theme-dracula	5937139	2.24.3	Dracula Soft	Dracula Soft	Dracula Official	Dracula Theme
akamud.vscode-theme-onedark	4690638	2.3.0	Atom One Dark	Atom One Dark	Atom One Dark Theme	Mahmoud Ali
equinusocio.vsc-community-material-theme	3241408	1.4.6	Community Material Theme	Community Material Theme	Community Material Theme	Equinusocio
equinusocio.vsc-community-material-theme	3241408	1.4.6	Community Material Theme High Contrast	Community Material Theme High Contrast	Community Material Theme	Equinusocio
equinusocio.vsc-community-material-theme	3241408	1.4.6	Community Material Theme Darker	Community Material Theme Darker	Community Material Theme	Equinusocio
equinusocio.vsc-community-material-theme	3241408	1.4.6	Community Material Theme Darker High Contrast	Community Material Theme Darker High Contrast	Community Material Theme	Equinusocio
equinusocio.vsc-community-material-theme	3241408	1.4.6	Community Material Theme Palenight	Community Material Theme Palenight	Community Material Theme	Equinusocio
equinusocio.vsc-community-material-theme	3241408	1.4.6	Community Material Theme Palenight High Contrast	Community Material Theme Palenight High Contrast	Community Material Theme	Equinusocio
equinusocio.vsc-community-material-theme	3241408	1.4.6	Community Material Theme Ocean	Community Material Theme Ocean	Community Material Theme	Equinusocio
equinusocio.vsc-community-material-theme	3241408	1.4.6	Community Material Theme Ocean High Contrast	Community Material Theme Ocean High Contrast	Community Material Theme	Equinusocio
equinusocio.vsc-community-material-theme	3241408	1.4.6	Community Material Theme Lighter	Community Material Theme Lighter	Community Material Theme	Equinusocio
equinusocio.vsc-community-material-theme	3241408	1.4.6	Community Material Theme Lighter High Contrast	Community Material Theme Lighter High Contrast	Community Material Theme	Equinusocio
johnpapa.winteriscoming	2451000	1.4.4	Winter is Coming (Dark Blue)	Winter is Coming (Dark Blue)	Winter is Coming Theme	John Papa
johnpapa.winteriscoming	2451000	1.4.4	Winter is Coming (Dark Blue - No Italics)	Winter is Coming (Dark Blue - No Italics)	Winter is Coming Theme	John Papa
johnpapa.winteriscoming	2451000	1.4.4	Winter is Coming (Light)	Winter is Coming (Light)	Winter is Coming Theme	John Papa
johnpapa.winteriscoming	2451000	1.4.4	Winter is Coming (Light - No Italics)	Winter is Coming (Light - No Italics)	Winter is Coming Theme	John Papa
johnpapa.winteriscoming	2451000	1.4.4	Winter is Coming (Dark Black)	Winter is Coming (Dark Black)	Winter is Coming Theme	John Papa
johnpapa.winteriscoming	2451000	1.4.4	Winter is Coming (Dark Black - No Italics)	Winter is Coming (Dark Black - No Italics)	Winter is Coming Theme	John Papa
monokai.theme-monokai-pro-vscode	2395767	1.2.1	Monokai Pro	Monokai Pro	Monokai Pro	monokai
monokai.theme-monokai-pro-vscode	2395767	1.2.1	Monokai Pro (Filter Octagon)	Monokai Pro (Filter Octagon)	Monokai Pro	monokai
monokai.theme-monokai-pro-vscode	2395767	1.2.1	Monokai Pro (Filter Ristretto)	Monokai Pro (Filter Ristretto)	Monokai Pro	monokai
monokai.theme-monokai-pro-vscode	2395767	1.2.1	Monokai Pro (Filter Spectrum)	Monokai Pro (Filter Spectrum)	Monokai Pro	monokai
monokai.theme-monokai-pro-vscode	2395767	1.2.1	Monokai Pro (Filter Machine)	Monokai Pro (Filter Machine)	Monokai Pro	monokai
monokai.theme-monokai-pro-vscode	2395767	1.2.1	Monokai Classic	Monokai Classic	Monokai Pro	monokai
equinusocio.vsc-material-theme	2360991	33.10.5	Material Theme	Material Theme	Material Theme	Equinusocio
equinusocio.vsc-material-theme	2360991	33.10.5	Material Theme High Contrast	Material Theme High Contrast	Material Theme	Equinusocio
equinusocio.vsc-material-theme	2360991	33.10.5	Material Theme Darker	Material Theme Darker	Material Theme	Equinusocio
equinusocio.vsc-material-theme	2360991	33.10.5	Material Theme Darker High Contrast	Material Theme Darker High Contrast	Material Theme	Equinusocio
equinusocio.vsc-material-theme	2360991	33.10.5	Material Theme Palenight	Material Theme Palenight	Material Theme	Equinusocio
equinusocio.vsc-material-theme	2360991	33.10.5	Material Theme Palenight High Contrast	Material Theme Palenight High Contrast	Material Theme	Equinusocio
equinusocio.vsc-material-theme	2360991	33.10.5	Material Theme Ocean	Material Theme Ocean	Material Theme	Equinusocio
equinusocio.vsc-material-theme	2360991	33.10.5	Material Theme Ocean High Contrast	Material Theme Ocean High Contrast	Material Theme	Equinusocio
equinusocio.vsc-material-theme	2360991	33.10.5	Material Theme Deepforest	Material Theme Deepforest	Material Theme	Equinusocio
equinusocio.vsc-material-theme	2360991	33.10.5	Material Theme DeepForest High Contrast	Material Theme DeepForest High Contrast	Material Theme	Equinusocio
equinusocio.vsc-material-theme	2360991	33.10.5	Material Theme Lighter	Material Theme Lighter	Material Theme	Equinusocio
equinusocio.vsc-material-theme	2360991	33.10.5	Material Theme Lighter High Contrast	Material Theme Lighter High Contrast	Material Theme	Equinusocio
sdras.night-owl	2177391	2.0.1	Night Owl	Night Owl	Night Owl	sarah.drasner
sdras.night-owl	2177391	2.0.1	Night Owl (No Italics)	Night Owl (No Italics)	Night Owl	sarah.drasner
sdras.night-owl	2177391	2.0.1	Night Owl Light	Night Owl Light	Night Owl	sarah.drasner
sdras.night-owl	2177391	2.0.1	Night Owl Light (No Italics)	Night Owl Light (No Italics)	Night Owl	sarah.drasner
teabyii.ayu	2065526	1.0.5	Ayu Dark	Ayu Dark	Ayu	teabyii
teabyii.ayu	2065526	1.0.5	Ayu Dark Bordered	Ayu Dark Bordered	Ayu	teabyii
teabyii.ayu	2065526	1.0.5	Ayu Light	Ayu Light	Ayu	teabyii
teabyii.ayu	2065526	1.0.5	Ayu Light Bordered	Ayu Light Bordered	Ayu	teabyii
teabyii.ayu	2065526	1.0.5	Ayu Mirage	Ayu Mirage	Ayu	teabyii
teabyii.ayu	2065526	1.0.5	Ayu Mirage Bordered	Ayu Mirage Bordered	Ayu	teabyii
azemoh.one-monokai	1912259	0.5.0	One Monokai	One Monokai	One Monokai Theme	Joshua Azemoh
ahmadawais.shades-of-purple	1606333	7.2.0	Shades of Purple	Shades of Purple	Shades of Purple	Ahmad Awais ⚡
ahmadawais.shades-of-purple	1606333	7.2.0	Shades of Purple (Super Dark)	Shades of Purple (Super Dark)	Shades of Purple	Ahmad Awais ⚡
robbowen.synthwave-vscode	1532317	0.1.15	SynthWave '84	SynthWave '84	SynthWave '84	Robb Owen
whizkydee.material-palenight-theme	1440664	2.0.3	Palenight Theme	Palenight Theme	Palenight Theme	Olaolu Olawuyi
whizkydee.material-palenight-theme	1440664	2.0.3	Palenight Italic	Palenight Italic	Palenight Theme	Olaolu Olawuyi
whizkydee.material-palenight-theme	1440664	2.0.3	Palenight Operator	Palenight Operator	Palenight Theme	Olaolu Olawuyi
whizkydee.material-palenight-theme	1440664	2.0.3	Palenight (Mild Contrast)	Palenight (Mild Contrast)	Palenight Theme	Olaolu Olawuyi
wesbos.theme-cobalt2	1313099	2.4.2	Cobalt2	Cobalt2	Cobalt2 Theme Official	Wes Bos
enkia.tokyo-night	1097426	1.0.1	Tokyo Night	Tokyo Night	Tokyo Night	enkia
enkia.tokyo-night	1097426	1.0.1	Tokyo Night Storm	Tokyo Night Storm	Tokyo Night	enkia
enkia.tokyo-night	1097426	1.0.1	Tokyo Night Light	Tokyo Night Light	Tokyo Night	enkia
akamud.vscode-theme-onelight	969778	2.3.0	Atom One Light	Atom One Light	Atom One Light Theme	Mahmoud Ali
eliverlara.andromeda	937752	1.8.1	Andromeda	Andromeda	Andromeda	Eliver  Lara
eliverlara.andromeda	937752	1.8.1	Andromeda Bordered	Andromeda Bordered	Andromeda	Eliver  Lara
eliverlara.andromeda	937752	1.8.1	Andromeda Italic Bordered	Andromeda Italic Bordered	Andromeda	Eliver  Lara
eliverlara.andromeda	937752	1.8.1	Andromeda Italic	Andromeda Italic	Andromeda	Eliver  Lara
eliverlara.andromeda	937752	1.8.1	Andromeda Colorizer	Andromeda Colorizer	Andromeda	Eliver  Lara
liviuschera.noctis	900133	10.41.0	Noctis Lux	Noctis Lux	Noctis	Liviu Schera
liviuschera.noctis	900133	10.41.0	Noctis Hibernus	Noctis Hibernus	Noctis	Liviu Schera
liviuschera.noctis	900133	10.41.0	Noctis Lilac	Noctis Lilac	Noctis	Liviu Schera
liviuschera.noctis	900133	10.41.0	Noctis	Noctis	Noctis	Liviu Schera
liviuschera.noctis	900133	10.41.0	Noctis Azureus	Noctis Azureus	Noctis	Liviu Schera
liviuschera.noctis	900133	10.41.0	Noctis Bordo	Noctis Bordo	Noctis	Liviu Schera
liviuschera.noctis	900133	10.41.0	Noctis Obscuro	Noctis Obscuro	Noctis	Liviu Schera
liviuschera.noctis	900133	10.41.0	Noctis Sereno	Noctis Sereno	Noctis	Liviu Schera
liviuschera.noctis	900133	10.41.0	Noctis Uva	Noctis Uva	Noctis	Liviu Schera
liviuschera.noctis	900133	10.41.0	Noctis Viola	Noctis Viola	Noctis	Liviu Schera
